VARIABLE_MAPPING_ID,MAINTENANCE_AGENCY_ID,CODE,NAME
DPM_ACT,ECB,DPM_ACT,Mapping of Accounting treatment
DPM_ALO,ECB,DPM_ALO,Mapping of Type of allowance
DPM_ALO_F_12.00,ECB,DPM_ALO_F_12.00,Mapping of Type of allowance for the template F12.00
DPM_APL,ECB,DPM_APL,Mapping of Accounting portfolio
DPM_ATY_FINREP,ECB,DPM_ATY_FINREP,DPM_ATY_FINREP
DPM_BAS,ECB,DPM_BAS,Mapping of Base
DPM_BAS_ALO_IMS_APL,ECB,DPM_BAS_ALO_IMS_APL,"Mapping of Base, Accounting portfolio, Impairment status, Type of allowance"
DPM_BAS_APL,ECB,DPM_BAS_APL,"Mapping of Accounting portfolio, Base"
DPM_BAS_APL_2.9,ECB,DPM_BAS_APL_2.9,"Mapping of Accounting portfolio, Base for the template 2.9"
DPM_BAS_CNO_MCB_MCF_MCY_REC,ECB,DPM_BAS_CNO_MCB_MCF_MCY_REC,"Mapping of Base, Instrument, Main category, Controlling and non-controlling owners, To be reclassified to profit or loss, Hedged or hedging instrument"
DPM_BAS_CNO_MCB_MCY_APL,ECB,DPM_BAS_CNO_MCB_MCY_APL,"Mapping of Main category, Instrument, Accounting portfolio, Base, Controlling and non-controlling owners"
DPM_BAS_CPS_CPZ_MCB_MCG_MCY_MCP_PUR_APL,ECB,DPM_BAS_CPS_CPZ_MCB_MCG_MCY_MCP_PUR_APL,"Mapping of Base, Main category, Main category that generates the provision, Accounting portfolio, Counterparty sector, Size of the counterparty, Main category of collateral or guarantee received, Purpose, Instrument"
DPM_BAS_CPS_CPZ_MCG_MCY_MCP_PUR_APL,ECB,DPM_BAS_CPS_CPZ_MCG_MCY_MCP_PUR_APL,"Mapping of Base, Main category, Main category that generates the provision, Accounting portfolio, Counterparty sector, Size of the counterparty, Main category of collateral or guarantee received, Purpose"
DPM_BAS_CPS_MCB_MCY_APL,ECB,DPM_BAS_CPS_MCB_MCY_APL,"Mapping of Base, Main category, Counterparty sector, Accounting portfolio, Instrument"
DPM_BAS_CPS_MCY,ECB,DPM_BAS_CPS_MCY,"Mapping of Base, Main category, Counterparty sector"
DPM_BAS_CPS_MCY_APL,ECB,DPM_BAS_CPS_MCY_APL,"Mapping of Counterparty sector, Main category, Accounting portfolio, Base"
DPM_BAS_MCB_MCY,ECB,DPM_BAS_MCB_MCY,"Mapping of Base, Instrument, Main category"
DPM_BAS_MCB_MCY_APL,ECB,DPM_BAS_MCB_MCY_APL,"Mapping of Base, Main category, Accounting portfolio, Instrument"
DPM_BAS_MCB_MCY_APL_F_42.00,ECB,DPM_BAS_MCB_MCY_APL_F_42.00,"Mapping of Base, Main category, Accounting portfolio, Instrument for the template F42.00"
DPM_BAS_MCE_MCY_TYA,ECB,DPM_BAS_MCE_MCY_TYA,"Mapping of Main category, Base, Main category that generates income or expenses, Type of activity"
DPM_BAS_MCE_MCY_TYA_2.9,ECB,DPM_BAS_MCE_MCY_TYA_2.9,"Mapping of Main category, Base, Main category that generates income or expenses, Type of activity for the template 2.9"
DPM_BAS_MCF_MCH_MCY,ECB,DPM_BAS_MCF_MCH_MCY,"Mapping of Base, Main category, Main category of hedged item, Hedged or hedging instrument"
DPM_BAS_MCP_MCY,ECB,DPM_BAS_MCP_MCY,"Mapping of Base, Main category, Main category that generates the provision"
DPM_BAS_MCV_MCY_TRE,ECB,DPM_BAS_MCV_MCY_TRE,"Mapping of Base, Main category, (Sub-)Type of expense, Type of remuneration"
DPM_BAS_MCY,ECB,DPM_BAS_MCY,"Mapping of Base, Main category"
DPM_BAS_MCY_APL,ECB,DPM_BAS_MCY_APL,"Mapping of Main category, Accounting portfolio, Base"
DPM_BAS_MCY_APL_RPR,ECB,DPM_BAS_MCY_APL_RPR,"Mapping of Main category, Accounting portfolio, Base, Related parties/Relationships"
DPM_BAS_MCY_PFS,ECB,DPM_BAS_MCY_PFS,"Mapping of Base, Main category, Performing status"
DPM_BAS_MDC_MCP_MCY_RPR,ECB,DPM_BAS_MDC_MCP_MCY_RPR,"Mapping of Base, Main category, Main category that generates the provision, Main category of the Defined benefit plan assets, Related parties/Relationships for the template MDC"
DPM_CNO,ECB,DPM_CNO,Mapping of Controlling and non-controlling owners
DPM_CNO_F_46.00,ECB,DPM_CNO_F_46.00,Mapping of Controlling and non-controlling owners for the template F46.00
DPM_CPS,ECB,DPM_CPS,Mapping of Counterparty sector
DPM_CPS_CPZ,ECB,DPM_CPS_CPZ,"Mapping of Counterparty sector, Size of the counterparty"
DPM_CPS_CPZ_MCB_MCG_MCY_PUR,ECB,DPM_CPS_CPZ_MCB_MCG_MCY_PUR,"Mapping of Main category, Instrument, Counterparty sector, Size of the counterparty, Main category of collateral or guarantee received, Purpose"
DPM_CPS_CPZ_MCB_MCY_PUR,ECB,DPM_CPS_CPZ_MCB_MCY_PUR,"Mapping of Main category, Instrument, Counterparty sector, Size of the counterparty, Purpose"
DPM_CPS_CPZ_MCC_MCG_MCY_PUR,ECB,DPM_CPS_CPZ_MCC_MCG_MCY_PUR,"Mapping of Main category of collateral or guarantee given, Main category, Counterparty sector, Main category of collateral or guarantee received, Purpose, Size of the counterparty"
DPM_CPS_CPZ_MCG_MCY_PUR,ECB,DPM_CPS_CPZ_MCG_MCY_PUR,"Mapping of Main category, Counterparty sector, Size of the counterparty, Main category of collateral or guarantee received, Purpose"
DPM_CPS_CPZ_MCY,ECB,DPM_CPS_CPZ_MCY,"Mapping of Main category, Counterparty sector, Size of the counterparty"
DPM_CPS_CPZ_MCY_TMA,ECB,DPM_CPS_CPZ_MCY_TMA,"Mapping of Main category, Counterparty sector, Size of the counterparty, Type of market"
DPM_CPS_MCB_MCE_TYH_IMS_APL_PUR,ECB,DPM_CPS_MCB_MCE_TYH_IMS_APL_PUR,"Mapping of Main category that generates income or expenses, Counterparty sector, Type of hedge, Purpose, Instrument, Impairment status for the template APL"
DPM_CPS_MCB_MCU_MCY,ECB,DPM_CPS_MCB_MCU_MCY,"Mapping of Main category, Instrument, Main category of the underlying, Counterparty sector"
DPM_CPS_MCB_MCY,ECB,DPM_CPS_MCB_MCY,"Mapping of Main category, Counterparty sector, Instrument"
DPM_CPS_MCE_TYH_IMS_APL,ECB,DPM_CPS_MCE_TYH_IMS_APL,"Mapping of Main category that generates income or expenses, Accounting portfolio, Counterparty sector, Type of hedge, Impairment status"
DPM_CPS_MCY,ECB,DPM_CPS_MCY,"Mapping of Main category, Counterparty sector"
DPM_CPS_MCY_TMA,ECB,DPM_CPS_MCY_TMA,"Mapping of Main category, Counterparty sector, Type of market"
DPM_CTL_MCG,ECB,DPM_CTL_MCG,"Mapping of Collateralisation level, Main category of collateral or guarantee received"
DPM_DPS,ECB,DPM_DPS,Mapping of Derivatives Purchased/Sold
DPM_Entity2,ECB,DPM_Entity2,DPM_Entity2
DPM_FBS,ECB,DPM_FBS,Mapping of Forbearance status
DPM_FBS_F_19.00,ECB,DPM_FBS_F_19.00,Mapping of Forbearance status for the template F19.00
DPM_FLT_FLW,ECB,DPM_FLT_FLW,"Mapping of Flows (direction), Flows (type / source / reason)"
